condition,dataset,seed,timestamp_utc,notes,metric_accuracy,metric_macro_f1,metric_weighted_f1,metric_ari,metric_nmi,orch_iterations_used,orch_max_iterations,orch_escalated,orch_converged,cost_input_tokens,cost_output_tokens,cost_total_tokens,cost_wall_clock_seconds,cost_estimated_usd
baseline2_single_llm_ollama_llama3.2:3b_semantic_normalized,pbmc68k_reduced,0,2026-07-21T04:51:38.780748+00:00,"same run, scored with semantic label normalization applied (0 raw parse errors)",0.22857142857142856,0.15469754163554977,0.20936933113290715,0.4754597324922233,0.646635301083249,1,1,False,True,707,73,780,62.70182013511658,
baseline2_single_llm_ollama_llama3.2:3b_semantic_normalized,pbmc68k_reduced,1,2026-07-21T04:52:36.810552+00:00,"same run, scored with semantic label normalization applied (0 raw parse errors)",0.06571428571428571,0.032466933766952207,0.08628684702721214,0.4236403684784518,0.5903807955095008,1,1,False,True,707,70,777,52.92363739013672,
baseline2_single_llm_ollama_llama3.2:3b_semantic_normalized,pbmc68k_reduced,2,2026-07-21T04:53:33.314485+00:00,"same run, scored with semantic label normalization applied (0 raw parse errors)",0.015714285714285715,0.013481224048083468,0.015901020795947924,0.5023068755067226,0.6225816819647145,1,1,False,True,707,65,772,50.89671063423157,
baseline2_single_llm_ollama_llama3.2:3b_semantic_normalized,pbmc68k_reduced,3,2026-07-21T04:54:27.657982+00:00,"same run, scored with semantic label normalization applied (0 raw parse errors)",0.16714285714285715,0.1033261239105812,0.15673794114256542,0.37276558649998387,0.5842007622048506,1,1,False,True,707,65,772,47.46528506278992,
baseline2_single_llm_ollama_llama3.2:3b_semantic_normalized,pbmc68k_reduced,4,2026-07-21T04:55:23.358159+00:00,"same run, scored with semantic label normalization applied (0 raw parse errors)",0.2757142857142857,0.11478411938938253,0.2717996289424861,0.4419209118696928,0.6270903513282313,1,1,False,True,707,64,771,50.5608389377594,
