condition,dataset,seed,timestamp_utc,notes,metric_accuracy,metric_macro_f1,metric_weighted_f1,metric_ari,metric_nmi,orch_iterations_used,orch_max_iterations,orch_escalated,orch_converged,cost_input_tokens,cost_output_tokens,cost_total_tokens,cost_wall_clock_seconds,cost_estimated_usd
orchestrator_ollama_llama3.2:1b,pbmc68k_reduced,0,2026-07-22T18:45:44.203630+00:00,"agree=0, disagree=8, fallback=8",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1424,219,1643,141.89272451400757,
orchestrator_ollama_llama3.2:1b,pbmc68k_reduced,1,2026-07-22T18:48:00.083148+00:00,"agree=0, disagree=8, fallback=8",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1382,174,1556,129.02178525924683,
orchestrator_ollama_llama3.2:1b,pbmc68k_reduced,2,2026-07-22T18:50:16.308489+00:00,"agree=0, disagree=8, fallback=8",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1398,185,1583,129.97897815704346,
orchestrator_ollama_llama3.2:1b,pbmc68k_reduced,3,2026-07-22T18:52:29.178400+00:00,"agree=0, disagree=8, fallback=8",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1393,177,1570,126.61421465873718,
orchestrator_ollama_llama3.2:1b,pbmc68k_reduced,4,2026-07-22T18:54:58.086750+00:00,"agree=0, disagree=8, fallback=8",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1382,285,1667,143.07404327392578,
