condition,dataset,seed,timestamp_utc,notes,metric_accuracy,metric_macro_f1,metric_weighted_f1,metric_ari,metric_nmi,orch_iterations_used,orch_max_iterations,orch_escalated,orch_converged,cost_input_tokens,cost_output_tokens,cost_total_tokens,cost_wall_clock_seconds,cost_estimated_usd
baseline3_self_loop_ollama_llama3.2:3b_semantic_normalized,pbmc68k_reduced,0,2026-07-21T18:57:13.132096+00:00,"self-loop, semantic normalization applied, 3/3 iterations",0.48428571428571426,0.2896085264869643,0.4984382044242987,0.4780530399798653,0.6679999342906224,3,3,False,False,1368,313,1681,315.1021053791046,
baseline3_self_loop_ollama_llama3.2:3b_semantic_normalized,pbmc68k_reduced,1,2026-07-21T19:01:36.966300+00:00,"self-loop, semantic normalization applied, 3/3 iterations",0.05714285714285714,0.03068181818181818,0.09603896103896102,0.48591482034922096,0.6717794972121577,3,3,False,False,1346,214,1560,253.2947051525116,
baseline3_self_loop_ollama_llama3.2:3b_semantic_normalized,pbmc68k_reduced,2,2026-07-21T19:05:39.641176+00:00,"self-loop, semantic normalization applied, 3/3 iterations",0.4,0.13984006128212678,0.4184959552861676,0.48591482034922096,0.6717794972121577,3,3,False,False,1349,275,1624,236.80785942077637,
baseline3_self_loop_ollama_llama3.2:3b_semantic_normalized,pbmc68k_reduced,3,2026-07-21T19:09:09.479682+00:00,"self-loop, semantic normalization applied, 2/3 iterations",0.007142857142857143,0.011363636363636364,0.008766233766233766,0.48591482034922096,0.6717794972121576,2,3,False,True,1029,168,1197,204.79930448532104,
baseline3_self_loop_ollama_llama3.2:3b_semantic_normalized,pbmc68k_reduced,4,2026-07-21T19:12:47.011358+00:00,"self-loop, semantic normalization applied, 3/3 iterations",0.18714285714285714,0.09181077700323272,0.14031460870016746,0.4243993110687019,0.594454704243638,3,3,False,False,1339,206,1545,211.82090878486633,
