condition,dataset,seed,timestamp_utc,notes,metric_accuracy,metric_macro_f1,metric_weighted_f1,metric_ari,metric_nmi,orch_iterations_used,orch_max_iterations,orch_escalated,orch_converged,cost_input_tokens,cost_output_tokens,cost_total_tokens,cost_wall_clock_seconds,cost_estimated_usd
orchestrator_ollama_llama3.2:3b,pbmc68k_reduced,0,2026-07-22T01:42:35.177376+00:00,"agree=2, disagree=6, fallback=6",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1264,142,1406,241.80969977378845,
orchestrator_ollama_llama3.2:3b,pbmc68k_reduced,1,2026-07-22T01:46:43.181779+00:00,"agree=2, disagree=6, fallback=0",0.42428571428571427,0.18834473313234926,0.4129776722850831,0.5164971623450217,0.6466742862735363,2,2,True,True,1266,130,1396,237.68094420433044,
orchestrator_ollama_llama3.2:3b,pbmc68k_reduced,2,2026-07-22T01:50:39.886348+00:00,"agree=2, disagree=6, fallback=0",0.49142857142857144,0.1580075541996151,0.38293199265915906,0.4494108275837153,0.6104423890636349,2,2,True,True,1264,127,1391,230.57684803009033,
orchestrator_ollama_llama3.2:3b,pbmc68k_reduced,3,2026-07-22T02:38:08.403173+00:00,"agree=0, disagree=8, fallback=8",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1402,158,1560,2842.5407299995422,
orchestrator_ollama_llama3.2:3b,pbmc68k_reduced,4,2026-07-22T02:42:34.881923+00:00,"agree=0, disagree=8, fallback=8",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1397,157,1554,253.89401698112488,
