condition,dataset,seed,timestamp_utc,notes,metric_accuracy,metric_macro_f1,metric_weighted_f1,metric_ari,metric_nmi,orch_iterations_used,orch_max_iterations,orch_escalated,orch_converged,cost_input_tokens,cost_output_tokens,cost_total_tokens,cost_wall_clock_seconds,cost_estimated_usd
baseline2_single_llm_ollama_llama3.2:3b,pbmc68k_reduced,0,2026-07-21T04:51:38.780147+00:00,"single LLM call, no orchestration, 0 parse errors (strict scoring)",0.22142857142857142,0.15223197041028497,0.2167565439201199,0.48591482034922096,0.6717794972121577,1,1,False,True,707,73,780,62.70182013511658,
baseline2_single_llm_ollama_llama3.2:3b,pbmc68k_reduced,1,2026-07-21T04:52:36.809804+00:00,"single LLM call, no orchestration, 0 parse errors (strict scoring)",0.0,0.0,0.0,0.4419209118696928,0.6270903513282312,1,1,False,True,707,70,777,52.92363739013672,
baseline2_single_llm_ollama_llama3.2:3b,pbmc68k_reduced,2,2026-07-21T04:53:33.312699+00:00,"single LLM call, no orchestration, 0 parse errors (strict scoring)",0.0,0.0,0.0,0.5023068755067226,0.6225816819647144,1,1,False,True,707,65,772,50.89671063423157,
baseline2_single_llm_ollama_llama3.2:3b,pbmc68k_reduced,3,2026-07-21T04:54:27.657360+00:00,"single LLM call, no orchestration, 0 parse errors (strict scoring)",0.0,0.0,0.0,0.37276558649998387,0.5842007622048506,1,1,False,True,707,65,772,47.46528506278992,
baseline2_single_llm_ollama_llama3.2:3b,pbmc68k_reduced,4,2026-07-21T04:55:23.357481+00:00,"single LLM call, no orchestration, 0 parse errors (strict scoring)",0.05,0.01497326203208556,0.08727272727272727,0.48591482034922096,0.6717794972121577,1,1,False,True,707,64,771,50.5608389377594,
